PING 2.2.2.4 (2.2.2.4) 56(84) bytes of data.
64 bytes from 2.2.2.4: icmp_seq=122 ttl=64 time=0.147 ms
64 bytes from 2.2.2.4: icmp_seq=123 ttl=64 time=0.131 ms
64 bytes from 2.2.2.4: icmp_seq=124 ttl=64 time=0.138 ms
64 bytes from 2.2.2.4: icmp_seq=125 ttl=64 time=0.139 ms
64 bytes from 2.2.2.4: icmp_seq=126 ttl=64 time=0.139 ms
64 bytes from 2.2.2.4: icmp_seq=127 ttl=64 time=0.152 ms
64 bytes from 2.2.2.4: icmp_seq=128 ttl=64 time=0.127 ms
64 bytes from 2.2.2.4: icmp_seq=129 ttl=64 time=0.140 ms
64 bytes from 2.2.2.4: icmp_seq=130 ttl=64 time=0.137 ms
64 bytes from 2.2.2.4: icmp_seq=131 ttl=64 time=0.137 ms
64 bytes from 2.2.2.4: icmp_seq=132 ttl=64 time=0.123 ms
64 bytes from 2.2.2.4: icmp_seq=133 ttl=64 time=0.140 ms
64 bytes from 2.2.2.4: icmp_seq=134 ttl=64 time=0.124 ms
64 bytes from 2.2.2.4: icmp_seq=135 ttl=64 time=0.143 ms
64 bytes from 2.2.2.4: icmp_seq=136 ttl=64 time=0.131 ms
64 bytes from 2.2.2.4: icmp_seq=137 ttl=64 time=0.154 ms
64 bytes from 2.2.2.4: icmp_seq=138 ttl=64 time=0.117 ms
64 bytes from 2.2.2.4: icmp_seq=139 ttl=64 time=0.139 ms
64 bytes from 2.2.2.4: icmp_seq=140 ttl=64 time=0.113 ms
64 bytes from 2.2.2.4: icmp_seq=141 ttl=64 time=0.187 ms
64 bytes from 2.2.2.4: icmp_seq=142 ttl=64 time=0.110 ms
64 bytes from 2.2.2.4: icmp_seq=143 ttl=64 time=0.144 ms
64 bytes from 2.2.2.4: icmp_seq=144 ttl=64 time=0.115 ms
64 bytes from 2.2.2.4: icmp_seq=145 ttl=64 time=0.212 ms
64 bytes from 2.2.2.4: icmp_seq=146 ttl=64 time=0.111 ms
64 bytes from 2.2.2.4: icmp_seq=147 ttl=64 time=0.175 ms
64 bytes from 2.2.2.4: icmp_seq=148 ttl=64 time=0.110 ms
64 bytes from 2.2.2.4: icmp_seq=149 ttl=64 time=0.134 ms
64 bytes from 2.2.2.4: icmp_seq=150 ttl=64 time=0.107 ms
64 bytes from 2.2.2.4: icmp_seq=151 ttl=64 time=0.136 ms
64 bytes from 2.2.2.4: icmp_seq=152 ttl=64 time=0.117 ms
64 bytes from 2.2.2.4: icmp_seq=153 ttl=64 time=0.126 ms
64 bytes from 2.2.2.4: icmp_seq=154 ttl=64 time=0.144 ms
64 bytes from 2.2.2.4: icmp_seq=155 ttl=64 time=0.113 ms
64 bytes from 2.2.2.4: icmp_seq=156 ttl=64 time=0.126 ms
64 bytes from 2.2.2.4: icmp_seq=157 ttl=64 time=0.134 ms
64 bytes from 2.2.2.4: icmp_seq=158 ttl=64 time=0.134 ms
64 bytes from 2.2.2.4: icmp_seq=159 ttl=64 time=0.110 ms
64 bytes from 2.2.2.4: icmp_seq=160 ttl=64 time=0.148 ms
64 bytes from 2.2.2.4: icmp_seq=161 ttl=64 time=0.128 ms
64 bytes from 2.2.2.4: icmp_seq=162 ttl=64 time=0.152 ms
64 bytes from 2.2.2.4: icmp_seq=163 ttl=64 time=0.120 ms
64 bytes from 2.2.2.4: icmp_seq=164 ttl=64 time=0.137 ms
64 bytes from 2.2.2.4: icmp_seq=165 ttl=64 time=0.131 ms
64 bytes from 2.2.2.4: icmp_seq=166 ttl=64 time=0.149 ms
64 bytes from 2.2.2.4: icmp_seq=167 ttl=64 time=0.119 ms
64 bytes from 2.2.2.4: icmp_seq=168 ttl=64 time=0.153 ms
64 bytes from 2.2.2.4: icmp_seq=169 ttl=64 time=0.125 ms
